INSERT INTO Batch (ingredient_id, received_date, expiry_date, quantity_current, location) VALUES
(19, '2024-03-21', '2024-11-13', 55.0, 'Shelf 1'),
(20, '2024-03-22', '2024-11-15', 44.0, 'Storage A'),
(21, '2024-03-23', '2024-11-17', 33.0, 'Storage C'),
(22, '2024-03-24', '2024-11-19', 12.0, 'Shelf 2'),
(23, '2024-03-25', '2024-11-21', 50.0, 'Shelf 3'),
(24, '2024-03-26', '2024-11-23', 27.0, 'Cold Room'),
(25, '2024-03-27', '2024-11-25', 16.0, 'Shelf 4'),
(26, '2024-03-28', '2024-11-27', 140.0, 'Storage D'),
(27, '2024-03-29', '2024-11-29', 102.0, 'Storage A'),
(28, '2024-03-30', '2024-12-01', 77.0, 'Shelf 1'),
(29, '2024-03-31', '2024-12-03', 65.0, 'Shelf 2'),
(30, '2024-04-01', '2024-12-05', 25.0, 'Cold Room'),
(31, '2024-04-02', '2024-12-07', 54.0, 'Storage B'),
(32, '2024-04-03', '2024-12-09', 76.0, 'Shelf 3'),
(33, '2024-04-04', '2024-12-11', 33.0, 'Shelf 4'),
(34, '2024-04-05', '2024-12-13', 140.5, 'Storage C'),
(35, '2024-04-06', '2024-12-15', 19.0, 'Fridge'),
(36, '2024-04-07', '2024-12-17', 12.5, 'Shelf 1'),
(37, '2024-04-08', '2024-12-19', 50.0, 'Storage A'),
(38, '2024-04-09', '2024-12-21', 48.0, 'Shelf 2'),
(39, '2024-04-10', '2024-12-23', 65.0, 'Storage D'),
(40, '2024-04-11', '2024-12-25', 77.0, 'Cold Room'),
(41, '2024-04-12', '2024-12-27', 44.0, 'Shelf 3'),
(42, '2024-04-13', '2024-12-29', 33.0, 'Shelf 4'),
(43, '2024-04-14', '2024-12-31', 61.0, 'Storage C'),
(44, '2024-04-15', '2025-01-02', 72.0, 'Shelf 1'),
(45, '2024-04-16', '2025-01-04', 54.0, 'Storage B'),
(46, '2024-04-17', '2025-01-06', 90.0, 'Cold Room'),
(47, '2024-04-18', '2025-01-08', 100.0, 'Shelf 2'),
(48, '2024-04-19', '2025-01-10', 23.0, 'Storage A'),
(49, '2024-04-20', '2025-01-12', 65.0, 'Shelf 3'),
(50, '2024-04-21', '2025-01-14', 87.0, 'Storage D'),
(51, '2024-04-22', '2025-01-16', 33.0, 'Shelf 4'),
(52, '2024-04-23', '2025-01-18', 15.0, 'Cold Room'),
(53, '2024-04-24', '2025-01-20', 99.0, 'Storage C'),
(54, '2024-04-25', '2025-01-22', 120.0, 'Shelf 1'),
(55, '2024-04-26', '2025-01-24', 42.0, 'Storage A'),
(56, '2024-04-27', '2025-01-26', 19.0, 'Shelf 2'),
(57, '2024-04-28', '2025-01-28', 60.0, 'Shelf 3'),
(58, '2024-04-29', '2025-01-30', 77.0, 'Cold Room'),
(59, '2024-04-30', '2025-02-01', 85.0, 'Storage B'),
(60, '2024-05-01', '2025-02-03', 15.0, 'Storage D'),
(1, '2024-05-02', '2025-02-05', 44.0, 'Shelf 4'),
(2, '2024-05-03', '2025-02-07', 66.0, 'Shelf 1'),
(3, '2024-05-04', '2025-02-09', 100.0, 'Storage C'),
(4, '2024-05-05', '2025-02-11', 32.0, 'Storage A'),
(5, '2024-05-06', '2025-02-13', 27.0, 'Shelf 2'),
(6, '2024-05-07', '2025-02-15', 80.0, 'Cold Room'),
(7, '2024-05-08', '2025-02-17', 43.0, 'Shelf 3'),
(8, '2024-05-09', '2025-02-19', 55.0, 'Shelf 4'),
(9, '2024-05-10', '2025-02-21', 120.0, 'Storage D'),
(10, '2024-05-11', '2025-02-23', 78.0, 'Shelf 1'),
(11, '2024-05-12', '2025-02-25', 15.0, 'Cold Room'),
(12, '2024-05-13', '2025-02-27', 33.0, 'Storage B'),
(13, '2024-05-14', '2025-03-01', 44.0, 'Shelf 2'),
(14, '2024-05-15', '2025-03-03', 21.0, 'Shelf 3'),
(15, '2024-05-16', '2025-03-05', 62.0, 'Storage C'),
(16, '2024-05-17', '2025-03-07', 14.0, 'Shelf 4'),
(17, '2024-05-18', '2025-03-09', 105.0, 'Storage A'),
(18, '2024-05-19', '2025-03-11', 78.0, 'Cold Room'),
(19, '2024-05-20', '2025-03-13', 66.0, 'Shelf 1'),
(20, '2024-05-21', '2025-03-15', 90.0, 'Storage D'),
(21, '2024-05-22', '2025-03-17', 33.0, 'Shelf 2'),
(22, '2024-05-23', '2025-03-19', 15.0, 'Shelf 3'),
(23, '2024-05-24', '2025-03-21', 75.0, 'Shelf 4'),
(24, '2024-05-25', '2025-03-23', 99.0, 'Storage C'),
(25, '2024-05-26', '2025-03-25', 120.0, 'Cold Room'),
(26, '2024-05-27', '2025-03-27', 18.0, 'Shelf 1'),
(27, '2024-05-28', '2025-03-29', 41.0, 'Storage A'),
(28, '2024-05-29', '2025-03-31', 77.0, 'Shelf 2'),
(29, '2024-05-30', '2025-04-02', 55.0, 'Shelf 3'),
(30, '2024-05-31', '2025-04-04', 14.0, 'Fridge');
(31, '2024-06-01', '2025-04-06', 66.0, 'Storage C'),
(32, '2024-06-02', '2025-04-08', 77.0, 'Shelf 4'),
(33, '2024-06-03', '2025-04-10', 110.0, 'Shelf 1'),
(34, '2024-06-04', '2025-04-12', 42.0, 'Storage A'),
(35, '2024-06-05', '2025-04-14', 19.0, 'Shelf 2'),
(36, '2024-06-06', '2025-04-16', 33.0, 'Cold Room'),
(37, '2024-06-07', '2025-04-18', 50.0, 'Shelf 3'),
(38, '2024-06-08', '2025-04-20', 77.0, 'Shelf 4'),
(39, '2024-06-09', '2025-04-22', 90.0, 'Storage D'),
(40, '2024-06-10', '2025-04-24', 25.5, 'Shelf 2'),
(41, '2024-06-11', '2025-04-26', 15.0, 'Storage C'),
(42, '2024-06-12', '2025-04-28', 33.0, 'Shelf 1'),
(43, '2024-06-13', '2025-04-30', 55.0, 'Shelf 3'),
(44, '2024-06-14', '2025-05-02', 88.0, 'Storage A'),
(45, '2024-06-15', '2025-05-04', 12.0, 'Fridge'),
(46, '2024-06-16', '2025-05-06', 50.0, 'Cold Room'),
(47, '2024-06-17', '2025-05-08', 19.0, 'Shelf 4'),
(48, '2024-06-18', '2025-05-10', 77.0, 'Storage B'),
(49, '2024-06-19', '2025-05-12', 90.0, 'Shelf 3'),
(50, '2024-06-20', '2025-05-14', 61.0, 'Shelf 1'),
(51, '2024-06-21', '2025-05-16', 44.0, 'Storage D'),
(52, '2024-06-22', '2025-05-18', 33.0, 'Shelf 2'),
(53, '2024-06-23', '2025-05-20', 110.0, 'Storage A'),
(54, '2024-06-24', '2025-05-22', 45.0, 'Shelf 4'),
(55, '2024-06-25', '2025-05-24', 14.0, 'Cold Room'),
(56, '2024-06-26', '2025-05-26', 62.0, 'Shelf 1'),
(57, '2024-06-27', '2025-05-28', 12.0, 'Shelf 3'),
(58, '2024-06-28', '2025-05-30', 22.0, 'Storage C'),
(59, '2024-06-29', '2025-06-01', 33.0, 'Shelf 2'),
(60, '2024-06-30', '2025-06-03', 42.0, 'Storage A'),
(1, '2024-07-01', '2025-06-05', 75.0, 'Shelf 1'),
(2, '2024-07-02', '2025-06-07', 100.0, 'Shelf 3'),
(3, '2024-07-03', '2025-06-09', 44.0, 'Cold Room'),
(4, '2024-07-04', '2025-06-11', 32.0, 'Storage B'),
(5, '2024-07-05', '2025-06-13', 17.0, 'Shelf 4'),
(6, '2024-07-06', '2025-06-15', 14.5, 'Shelf 2'),
(7, '2024-07-07', '2025-06-17', 88.0, 'Storage D'),
(8, '2024-07-08', '2025-06-19', 120.0, 'Cold Room'),
(9, '2024-07-09', '2025-06-21', 15.0, 'Shelf 3'),
(10, '2024-07-10', '2025-06-23', 33.0, 'Shelf 1'),
(11, '2024-07-11', '2025-06-25', 60.0, 'Storage A'),
(12, '2024-07-12', '2025-06-27', 55.0, 'Shelf 2'),
(13, '2024-07-13', '2025-06-29', 44.0, 'Storage C'),
(14, '2024-07-14', '2025-07-01', 76.0, 'Shelf 4'),
(15, '2024-07-15', '2025-07-03', 18.0, 'Shelf 1'),
(16, '2024-07-16', '2025-07-05', 12.0, 'Cold Room'),
(17, '2024-07-17', '2025-07-07', 25.0, 'Storage A'),
(18, '2024-07-18', '2025-07-09', 33.0, 'Shelf 3'),
(19, '2024-07-19', '2025-07-11', 42.0, 'Storage B'),
(20, '2024-07-20', '2025-07-13', 11.0, 'Shelf 2'),
(21, '2024-07-21', '2025-07-15', 13.0, 'Storage C'),
(22, '2024-07-22', '2025-07-17', 77.0, 'Cold Room'),
(23, '2024-07-23', '2025-07-19', 90.0, 'Shelf 1'),
(24, '2024-07-24', '2025-07-21', 55.0, 'Shelf 3'),
(25, '2024-07-25', '2025-07-23', 22.0, 'Storage A'),
(26, '2024-07-26', '2025-07-25', 33.0, 'Shelf 4'),
(27, '2024-07-27', '2025-07-27', 40.0, 'Storage D'),
(28, '2024-07-28', '2025-07-29', 99.0, 'Shelf 2'),
(29, '2024-07-29', '2025-07-31', 65.0, 'Cold Room'),
(30, '2024-07-30', '2025-08-02', 88.0, 'Shelf 1'),
(31, '2024-07-31', '2025-08-04', 70.0, 'Storage A'),
(32, '2024-08-01', '2025-08-06', 55.0, 'Shelf 3'),
(33, '2024-08-02', '2025-08-08', 43.0, 'Shelf 4'),
(34, '2024-08-03', '2025-08-10', 33.0, 'Cold Room'),
(35, '2024-08-04', '2025-08-12', 22.0, 'Shelf 2'),
(36, '2024-08-05', '2025-08-14', 66.0, 'Shelf 3'),
(37, '2024-08-06', '2025-08-16', 14.0, 'Storage B'),
(38, '2024-08-07', '2025-08-18', 99.0, 'Shelf 1'),
(39, '2024-08-08', '2025-08-20', 77.0, 'Storage C'),
(40, '2024-08-09', '2025-08-22', 55.0, 'Cold Room');
(41, '2024-08-10', '2025-08-24', 33.0, 'Shelf 2'),
(42, '2024-08-11', '2025-08-26', 21.0, 'Shelf 3'),
(43, '2024-08-12', '2025-08-28', 44.0, 'Storage B'),
(44, '2024-08-13', '2025-08-30', 55.0, 'Storage C'),
(45, '2024-08-14', '2025-09-01', 17.0, 'Shelf 4'),
(46, '2024-08-15', '2025-09-03', 28.0, 'Cold Room'),
(47, '2024-08-16', '2025-09-05', 66.0, 'Shelf 1'),
(48, '2024-08-17', '2025-09-07', 77.0, 'Storage A'),
(49, '2024-08-18', '2025-09-09', 34.0, 'Shelf 2'),
(50, '2024-08-19', '2025-09-11', 15.0, 'Shelf 3'),
(51, '2024-08-20', '2025-09-13', 88.0, 'Storage D'),
(52, '2024-08-21', '2025-09-15', 99.0, 'Cold Room'),
(53, '2024-08-22', '2025-09-17', 22.0, 'Shelf 4'),
(54, '2024-08-23', '2025-09-19', 44.0, 'Shelf 1'),
(55, '2024-08-24', '2025-09-21', 77.0, 'Storage B'),
(56, '2024-08-25', '2025-09-23', 90.0, 'Shelf 3'),
(57, '2024-08-26', '2025-09-25', 10.0, 'Shelf 2'),
(58, '2024-08-27', '2025-09-27', 15.0, 'Cold Room'),
(59, '2024-08-28', '2025-09-29', 22.0, 'Shelf 4'),
(60, '2024-08-29', '2025-10-01', 140.0, 'Storage C'),
(1,  '2024-08-30', '2025-10-03', 120.0, 'Storage A'),
(2,  '2024-08-31', '2025-10-05', 75.0,  'Shelf 1'),
(3,  '2024-09-01', '2025-10-07', 65.0,  'Shelf 2'),
(4,  '2024-09-02', '2025-10-09', 44.0,  'Shelf 3'),
(5,  '2024-09-03', '2025-10-11', 32.0,  'Cold Room'),
(6,  '2024-09-04', '2025-10-13', 51.0,  'Storage B'),
(7,  '2024-09-05', '2025-10-15', 33.0,  'Shelf 4'),
(8,  '2024-09-06', '2025-10-17', 55.0,  'Storage C'),
(9,  '2024-09-07', '2025-10-19', 66.0,  'Shelf 1'),
(10, '2024-09-08', '2025-10-21', 99.0,  'Storage A'),
(11, '2024-09-09', '2025-10-23', 10.0,  'Shelf 2'),
(12, '2024-09-10', '2025-10-25', 15.0,  'Shelf 3'),
(13, '2024-09-11', '2025-10-27', 75.0,  'Cold Room'),
(14, '2024-09-12', '2025-10-29', 22.0,  'Storage D'),
(15, '2024-09-13', '2025-10-31', 33.0,  'Shelf 1'),
(16, '2024-09-14', '2025-11-02', 48.0,  'Shelf 4'),
(17, '2024-09-15', '2025-11-04', 77.0,  'Shelf 3'),
(18, '2024-09-16', '2025-11-06', 55.0,  'Storage A'),
(19, '2024-09-17', '2025-11-08', 20.0,  'Storage C'),
(20, '2024-09-18', '2025-11-10', 18.0,  'Shelf 2'),
(21, '2024-09-19', '2025-11-12', 60.0,  'Shelf 1'),
(22, '2024-09-20', '2025-11-14', 99.0,  'Cold Room'),
(23, '2024-09-21', '2025-11-16', 33.0,  'Shelf 3'),
(24, '2024-09-22', '2025-11-18', 14.0,  'Shelf 4'),
(25, '2024-09-23', '2025-11-20', 22.0,  'Storage B'),
(26, '2024-09-24', '2025-11-22', 40.0,  'Storage D'),
(27, '2024-09-25', '2025-11-24', 77.0,  'Shelf 2'),
(28, '2024-09-26', '2025-11-26', 55.0,  'Shelf 1'),
(29, '2024-09-27', '2025-11-28', 100.0, 'Storage C'),
(30, '2024-09-28', '2025-11-30', 44.0,  'Shelf 4'),
(31, '2024-09-29', '2025-12-02', 18.0,  'Cold Room'),
(32, '2024-09-30', '2025-12-04', 22.0,  'Shelf 3'),
(33, '2024-10-01', '2025-12-06', 33.0,  'Shelf 2'),
(34, '2024-10-02', '2025-12-08', 15.0,  'Storage A'),
(35, '2024-10-03', '2025-12-10', 11.0,  'Storage D'),
(36, '2024-10-04', '2025-12-12', 44.0,  'Shelf 3'),
(37, '2024-10-05', '2025-12-14', 80.0,  'Shelf 1'),
(38, '2024-10-06', '2025-12-16', 99.0,  'Cold Room'),
(39, '2024-10-07', '2025-12-18', 22.0,  'Storage B'),
(40, '2024-10-08', '2025-12-20', 33.0,  'Shelf 2');
(41, '2024-10-09', '2025-12-22', 44.0, 'Shelf 3'),
(42, '2024-10-10', '2025-12-24', 22.0, 'Shelf 4'),
(43, '2024-10-11', '2025-12-26', 66.0, 'Storage C'),
(44, '2024-10-12', '2025-12-28', 33.0, 'Shelf 1'),
(45, '2024-10-13', '2025-12-30', 77.0, 'Storage A'),
(46, '2024-10-14', '2026-01-01', 99.0, 'Cold Room'),
(47, '2024-10-15', '2026-01-03', 55.0, 'Shelf 2'),
(48, '2024-10-16', '2026-01-05', 21.0, 'Shelf 3'),
(49, '2024-10-17', '2026-01-07', 40.0, 'Shelf 4'),
(50, '2024-10-18', '2026-01-09', 110.0, 'Storage D'),
(51, '2024-10-19', '2026-01-11', 18.0, 'Shelf 2'),
(52, '2024-10-20', '2026-01-13', 22.0, 'Shelf 1'),
(53, '2024-10-21', '2026-01-15', 55.0, 'Storage C'),
(54, '2024-10-22', '2026-01-17', 90.0, 'Cold Room'),
(55, '2024-10-23', '2026-01-19', 33.0, 'Shelf 3'),
(56, '2024-10-24', '2026-01-21', 14.0, 'Shelf 4'),
(57, '2024-10-25', '2026-01-23', 66.0, 'Storage B'),
(58, '2024-10-26', '2026-01-25', 99.0, 'Shelf 1'),
(59, '2024-10-27', '2026-01-27', 50.0, 'Storage A'),
(60, '2024-10-28', '2026-01-29', 75.0, 'Shelf 3'),
(1,  '2024-10-29', '2026-01-31', 40.0, 'Shelf 2'),
(2,  '2024-10-30', '2026-02-02', 60.0, 'Cold Room'),
(3,  '2024-11-01', '2026-02-04', 14.0, 'Shelf 4'),
(4,  '2024-11-02', '2026-02-06', 33.0, 'Storage D'),
(5,  '2024-11-03', '2026-02-08', 77.0, 'Shelf 1'),
(6,  '2024-11-04', '2026-02-10', 55.0, 'Storage C'),
(7,  '2024-11-05', '2026-02-12', 90.0, 'Cold Room'),
(8,  '2024-11-06', '2026-02-14', 22.0, 'Shelf 3'),
(9,  '2024-11-07', '2026-02-16', 33.0, 'Shelf 2'),
(10, '2024-11-08', '2026-02-18', 110.0, 'Storage A'),
(11, '2024-11-09', '2026-02-20', 44.0, 'Shelf 4'),
(12, '2024-11-10', '2026-02-22', 18.0, 'Shelf 1'),
(13, '2024-11-11', '2026-02-24', 66.0, 'Storage B'),
(14, '2024-11-12', '2026-02-26', 99.0, 'Shelf 3'),
(15, '2024-11-13', '2026-02-28', 55.0, 'Cold Room'),
(16, '2024-11-14', '2026-03-02', 22.0, 'Shelf 2'),
(17, '2024-11-15', '2026-03-04', 33.0, 'Storage D'),
(18, '2024-11-16', '2026-03-06', 44.0, 'Shelf 1'),
(19, '2024-11-17', '2026-03-08', 88.0, 'Storage C'),
(20, '2024-11-18', '2026-03-10', 19.0, 'Shelf 4'),
(21, '2024-11-19', '2026-03-12', 14.0, 'Cold Room'),
(22, '2024-11-20', '2026-03-14', 50.0, 'Shelf 3'),
(23, '2024-11-21', '2026-03-16', 60.0, 'Shelf 2'),
(24, '2024-11-22', '2026-03-18', 99.0, 'Storage A'),
(25, '2024-11-23', '2026-03-20', 45.0, 'Storage B'),
(26, '2024-11-24', '2026-03-22', 77.0, 'Shelf 1'),
(27, '2024-11-25', '2026-03-24', 33.0, 'Cold Room'),
(28, '2024-11-26', '2026-03-26', 14.0, 'Shelf 3'),
(29, '2024-11-27', '2026-03-28', 22.0, 'Shelf 4'),
(30, '2024-11-28', '2026-03-30', 33.0, 'Storage C'),
(31, '2024-11-29', '2026-04-01', 99.0, 'Shelf 2'),
(32, '2024-11-30', '2026-04-03', 88.0, 'Shelf 1'),
(33, '2024-12-01', '2026-04-05', 76.0, 'Storage A'),
(34, '2024-12-02', '2026-04-07', 14.0, 'Shelf 3'),
(35, '2024-12-03', '2026-04-09', 29.0, 'Cold Room'),
(36, '2024-12-04', '2026-04-11', 40.0, 'Storage B'),
(37, '2024-12-05', '2026-04-13', 55.0, 'Shelf 4'),
(38, '2024-12-06', '2026-04-15', 90.0, 'Shelf 2'),
(39, '2024-12-07', '2026-04-17', 44.0, 'Storage D'),
(40, '2024-12-08', '2026-04-19', 33.0, 'Shelf 1');
(12, '2024-12-09', '2026-04-21', 22.0, 'Cold Room'),
(23, '2024-12-10', '2026-04-23', 41.0, 'Shelf 2'),
(34, '2024-12-11', '2026-04-25', 15.0, 'Shelf 3'),
(45, '2024-12-12', '2026-04-27', 33.0, 'Shelf 4'),
(56, '2024-12-13', '2026-04-29', 60.0, 'Storage A'),
(7,  '2024-12-14', '2026-05-01', 77.0, 'Storage B'),
(18, '2024-12-15', '2026-05-03', 55.0, 'Storage D'),
(29, '2024-12-16', '2026-05-05', 19.0, 'Shelf 1'),
(40, '2024-12-17', '2026-05-07', 88.0, 'Shelf 3'),
(51, '2024-12-18', '2026-05-09', 22.0, 'Storage C'),
(2,  '2024-12-19', '2026-05-11', 44.0, 'Cold Room'),
(14, '2024-12-20', '2026-05-13', 33.0, 'Shelf 2'),
(26, '2024-12-21', '2026-05-15', 65.0, 'Shelf 4'),
(38, '2024-12-22', '2026-05-17', 110.0, 'Storage A'),
(49, '2024-12-23', '2026-05-19', 90.0, 'Shelf 1'),
(60, '2024-12-24', '2026-05-21', 14.0, 'Shelf 3'),
(11, '2024-12-25', '2026-05-23', 30.0, 'Cold Room'),
(22, '2024-12-26', '2026-05-25', 25.0, 'Storage B'),
(33, '2024-12-27', '2026-05-27', 60.0, 'Shelf 2'),
(44, '2024-12-28', '2026-05-29', 50.0, 'Shelf 4'),
(55, '2024-12-29', '2026-05-31', 75.0, 'Storage D'),
(6,  '2024-12-30', '2026-06-02', 12.0, 'Shelf 1'),
(17, '2024-12-31', '2026-06-04', 19.0, 'Shelf 3'),
(28, '2025-01-01', '2026-06-06', 33.0, 'Storage C'),
(39, '2025-01-02', '2026-06-08', 55.0, 'Storage A'),
(50, '2025-01-03', '2026-06-10', 77.0, 'Shelf 2'),
(1,  '2025-01-04', '2026-06-12', 18.0, 'Shelf 4'),
(13, '2025-01-05', '2026-06-14', 44.0, 'Cold Room'),
(24, '2025-01-06', '2026-06-16', 66.0, 'Shelf 3'),
(35, '2025-01-07', '2026-06-18', 120.0, 'Storage B'),
(46, '2025-01-08', '2026-06-20', 40.0, 'Shelf 1'),
(57, '2025-01-09', '2026-06-22', 22.0, 'Shelf 2'),
(8,  '2025-01-10', '2026-06-24', 33.0, 'Storage D'),
(19, '2025-01-11', '2026-06-26', 90.0, 'Storage C'),
(30, '2025-01-12', '2026-06-28', 55.0, 'Shelf 4'),
(41, '2025-01-13', '2026-06-30', 25.0, 'Cold Room'),
(52, '2025-01-14', '2026-07-02', 33.0, 'Shelf 2'),
(3,  '2025-01-15', '2026-07-04', 14.0, 'Shelf 3'),
(15, '2025-01-16', '2026-07-06', 19.0, 'Storage A'),
(27, '2025-01-17', '2026-07-08', 100.0, 'Storage C'),
(36, '2025-01-18', '2026-07-10', 88.0, 'Shelf 1'),
(48, '2025-01-19', '2026-07-12', 55.0, 'Shelf 3'),
(59, '2025-01-20', '2026-07-14', 77.0, 'Storage B'),
(9,  '2025-01-21', '2026-07-16', 14.0, 'Shelf 4'),
(20, '2025-01-22', '2026-07-18', 33.0, 'Cold Room'),
(31, '2025-01-23', '2026-07-20', 61.0, 'Shelf 2'),
(42, '2025-01-24', '2026-07-22', 90.0, 'Shelf 1'),
(53, '2025-01-25', '2026-07-24', 44.0, 'Storage D'),
(4,  '2025-01-26', '2026-07-26', 19.0, 'Shelf 3'),
(16, '2025-01-27', '2026-07-28', 25.0, 'Shelf 2'),
(28, '2025-01-28', '2026-07-30', 70.0, 'Storage A'),
(37, '2025-01-29', '2026-08-01', 33.0, 'Shelf 4'),
(49, '2025-01-30', '2026-08-03', 55.0, 'Storage C'),
(60, '2025-01-31', '2026-08-05', 88.0, 'Cold Room');
(7,  '2025-02-01', '2026-08-07', 33.0, 'Shelf 2'),
(18, '2025-02-02', '2026-08-09', 44.0, 'Storage A'),
(29, '2025-02-03', '2026-08-11', 60.0, 'Cold Room'),
(40, '2025-02-04', '2026-08-13', 22.0, 'Shelf 3'),
(51, '2025-02-05', '2026-08-15', 77.0, 'Storage C'),
(12, '2025-02-06', '2026-08-17', 15.0, 'Shelf 1'),
(23, '2025-02-07', '2026-08-19', 99.0, 'Storage D'),
(34, '2025-02-08', '2026-08-21', 55.0, 'Shelf 4'),
(45, '2025-02-09', '2026-08-23', 14.0, 'Shelf 2'),
(56, '2025-02-10', '2026-08-25', 120.0, 'Storage B');
